,DOMINO,BESTSHIFT,RANDOMSHIFT,LEFTSHIFT
0,4.278151512145996,5.17189884185791,4.915137767791748,4.554734230041504
1,4.347105026245117,5.204070091247559,4.969256401062012,4.561674118041992
2,4.320559978485107,5.1560444831848145,4.902517318725586,4.4061408042907715
3,4.677456855773926,5.038191795349121,5.4535064697265625,5.105241298675537
4,4.3897809982299805,5.181814670562744,5.170170783996582,4.8429036140441895
5,4.299514293670654,5.215763568878174,4.970943450927734,4.380823612213135
6,4.355767726898193,5.135284900665283,5.078000068664551,4.7609734535217285
7,4.730729103088379,5.210911750793457,5.281683921813965,4.815116882324219
8,4.521388530731201,5.031368255615234,5.356435775756836,5.166933536529541
9,4.312984466552734,5.266624927520752,4.9680585861206055,4.532718181610107
10,4.59173583984375,5.124866008758545,5.443490505218506,5.443302154541016
11,4.6114606857299805,5.036059379577637,5.4717020988464355,5.626312255859375
