,RANDSHIFT,BESTSHIFT,ORIGINAL,DOMINO
0,1044.052417755127,863.3988723754883,1146.6629524230957,1111.993019104004
1,1040.5907592773438,861.900032043457,1142.7909545898438,1107.7234535217285
2,1040.5751953125,861.2569351196289,1142.8996772766113,1107.0180168151855
3,1039.9373054504395,865.5002174377441,1140.8249168395996,1108.617446899414
4,1044.6788597106934,880.6420631408691,1147.0224533081055,1114.1070175170898
5,1040.0360870361328,863.090633392334,1142.2055931091309,1108.0620803833008
6,1039.3270111083984,859.3920822143555,1141.4209060668945,1107.2078704833984
7,1038.550048828125,867.1425628662109,1140.4038772583008,1108.4386940002441
8,1035.9235954284668,862.9610328674316,1137.4532928466797,1103.2058067321777
9,1040.695442199707,865.4906959533691,1143.2890892028809,1109.3849792480469
10,1045.549186706543,876.0678176879883,1148.7497367858887,1114.752513885498
11,1038.9345626831055,859.1576347351074,1141.5482139587402,1107.00394821167
